"uniqueid","parentid","lctype","title","description","startdate","enddate"
"ACCT3044","","C","ACCT3044 - Advanced Auditing","","",""
"ACCT3044.200420","ACCT3044","S","(2004 - 2005, Semester 2)","","",""
"ACCT3044.200520","ACCT3044","S","(2005 - 2006, Semester 2)","","",""
"ACCT3044.200620","ACCT3044","S","(2006 - 2007, Semester 2)","","",""
"ACCT3044.200720","ACCT3044","S","(2007 - 2008, Semester 2)","","",""
"ACCT3044.200820","ACCT3044","S","(2008 - 2009, Semester 2)","","",""
"ACCT3076","","C","ACCT3076 - Managing Financial Institutions","","",""
"ACCT3076.200820","ACCT3076","S","(2008 - 2009, Semester 2)","","",""
"APSY6010","","C","APST6010 - Themes in Advanced Social Psychology","","",""
"APSY6010.200615","APSY6010","S","(2006 - 2007, Year)","","",""
"BIOC1351","","C","BIOC1351 - Introductory Biochemistry","","",""
"BIOC1351.200820","BIOC1351","S","(2008 - 2009, Semester 2)","","",""
"BIOC2351","","C","BIOC2351 - Biochemistry I","","",""
"BIOC2351.200810","BIOC2351","S","(2008 - 2009, Semester 1)","","",""
"BIOC3053","","C","BIOC3053 - Cell Signaling","","",""
"BIOC3053.200420","BIOC3053","S","(2004 - 2005, Semester 2)","","",""
"BIOC3053.200520","BIOC3053","S","(2005 - 2006, Semester 2)","","",""
"BIOC3053.200720","BIOC3053","S","(2007 - 2008, Semester 2)","","",""
"BIOC3053.200820","BIOC3053","S","(2008 - 2009, Semester 2)","","",""
"BIOC3254","","C","BIOC3254 - Biochemical Plant Pathology","","",""
"BIOC3254.200820","BIOC3254","S","(2008 - 2009, Semester 2)","","",""
"BIOC3352","","C","BIOC3352 - Biochem III","","",""
"BIOC3352.200520","BIOC3352","S","(2005 - 2006, Semester 2)","","",""
"BIOL1051","","C","BIOL1051 - Biodiversity 1","","",""
"BIOL1051.200410","BIOL1051","S","(2004 - 2005, Semester 1)","","",""
"BIOL1051.200610","BIOL1051","S","(2006 - 2007, Semester 1)","","",""
"BIOL1051.200710","BIOL1051","S","(2007 - 2008, Semester 1)","","",""
"BIOL1051.200810","BIOL1051","S","(2008 - 2009, Semester 1)","","",""
"BIOL1052","","C","BIOL1052 - Biodiversity II","","",""
